url,description,price,location,availability
https://batdongsan.com.vn/nha-dat-ban,Quỹ căn biệt thự - Shophouse khu đô thị Starlake Tây Hồ Tây Cần Bán Gấp - Giá tốt nhất thị trường,Giá thỏa thuận,"Tây Hồ, Hà Nội",Available
https://batdongsan.com.vn/nha-dat-ban,QUỸ CĂN BIỆT THỰ - SHOPHOUSE KHU ĐÔ THỊ STARLAKE CẦN BÁN GẤP. VỊ TRÍ ĐẸP - GIÁ TỐT NHẤT THỊ TRƯỜNG.,Giá thỏa thuận,"Tây Hồ, Hà Nội",Available
https://batdongsan.com.vn/nha-dat-ban,"Grand Sunlake CK 9%, tặng 170 triệu + 15 chỉ vàng, vay ls 0% 18 tháng, thanh toán 30% nhận nhà","3,4 tỷ","Hà Đông, Hà Nội",Available
https://batdongsan.com.vn/nha-dat-ban,"Chuyên bán CH Vinhomes Ocean Park, loại 1 - 2 - 3 PN giá tốt, CS vay lên tới 80%, sổ hồng vĩnh viễn","1,35 tỷ","Gia Lâm, Hà Nội",Available
https://batdongsan.com.vn/nha-dat-ban,"Độc quyền rổ hàng chính chủ Celadon City phân khu giá tốt: Diamond, Brilliant, Emerald. Rổ hàng CĐT","4,35 tỷ","Tân Phú, Hồ Chí Minh",Available
https://batdongsan.com.vn/nha-dat-ban,"Quỹ Độc Quyền căn Studio đến 3PN R101 Zenpark view Hồ giá tốt CK tới 1,4 tỷ, Trúng ô tô Vinfast VF5","3,28 tỷ","Gia Lâm, Hà Nội",Available
https://batdongsan.com.vn/nha-dat-ban,"Căn Hộ 3PN 87-115m2 Đông Nam View Hồ, Vinpearl Safari, Trường Quốc Tế Brighton Đẹp Nhất Vinhome OCP","4,35 tỷ","Gia Lâm, Hà Nội",Available
https://batdongsan.com.vn/nha-dat-ban,"Độc quyền CC The Wisteria chiết khấu 11,5% + 200tr, LS 0% 24th cam kết giá tốt nhất trực tiếp CĐT",3 tỷ,"Hoài Đức, Hà Nội",Available
https://batdongsan.com.vn/nha-dat-ban,"Quỹ căn view đẹp chính chủ bán cắt lỗ từ 300tr sổ đỏ chính chủ, miễn Phí MG, hỗ trợ vay tới 70%","1,63 tỷ","Gia Lâm, Hà Nội",Available
https://batdongsan.com.vn/nha-dat-ban,"Suất mua cuối cùng giá 3,2 tỷ - căn hộ 92m2 - 3N2VS tại Grand Sunlake - Văn Quán","3,2 tỷ","Hà Đông, Hà Nội",Available
https://batdongsan.com.vn/nha-dat-ban,"MỞ BÁN ""SHOPHOUSE, LIỀN KỀ, BIỆT THỰ"" VINHOMES OCEAN PARK 2: VỐN TỪ 2 TỶ, TẶNG XE VINFAST VF8/VF9",2 tỷ,"Văn Giang, Hưng Yên",Available
https://batdongsan.com.vn/nha-dat-ban,Quỹ hàng chuyển nhượng bán Cắt lỗ tại Vinhomes Ocean Park 2 tháng 01/2024. Hotline: 0815 805 ***,"7,75 tỷ","Văn Giang, Hưng Yên",Available
https://batdongsan.com.vn/nha-dat-ban,"Chuyên CH cao cấp 1-2-3PN The Zenpark Ocean Park view đẹp, giá tốt, miễn phí tư vấn, pháp lý vayNH",Giá thỏa thuận,"Gia Lâm, Hà Nội",Available
